,OriginalTitle,TranslatedTitle,FolderName,Author,AuthorInRoman
0,B사감과 러브레터,Ms. B and Love Letters,LoveLetter,현진건,"Jingun, Hyun"
1,가애자,Sweetheart,Sweetheart,김남천,"Namchun, Kim"
2,가상의 불량소녀,Fictional Rogue Girl,RogueGirl,이익상,"Iksang, Lee"
3,결혼식,Wedding,Wedding,김동인,"Dongin, Kim"
4,경희,Kyunghee,Kyunghee,나혜석,"Hyeseok, Na"
5,괴승신수,"Shinsu, The Strange Monk",StrangeMonk,윤백남,"BaekNam, Yoon"
6,그 여자,The Woman,TheWoman,강경애,"Kyungae, Kang"
7,그믐달,Dark Moon,DarkMoon,이익상,"Iksang, Lee"
8,금 따는 콩밭,Field of Beans Where Gold is Buried,GoldField,김유정,"Yujeong, Kim"
9,노다지,Rich Mine,RichMine,김유정,"Yujeong, Kim"
10,대동강은 속삭인다,Daedong River is Whispering,DaedongRiver,김동인,"Dongin, Kim"
11,도시와 유령,City and Ghost,CityGhost,이효석,"Hyoseok, Lee"
12,따라지,Ttalaji,Ttalaji,김유정,"Yujeong, Kim"
13,만무방,Manmubang,Manmwupang,김유정,"Yujeong, Kim"
14,먼동이 틀 때,When The Sun Rises,WhenSunRise,최서해,"Seohae, Choi"
15,메밀꽃 필 무렵,When Bucketwheet Flowers Blossom,BuckwheetBlossom,이효석,"Hyoseok, Lee"
16,명문,Prestigious Family,PrestigiousFamily,김동인,"Dongin, Kim"
17,모르는 여인,The Unknown Woman,UnknownWoman,이광수,"Kwangsoo, Lee"
18,모자,Mother and Son,MotherSon,강경애,"Kyungae, Kang"
19,무명초,Anemone,Anemone,최서해,"Seohae, Choi"
20,박첨지의 죽음,Death of Park Chumji,DeadPark,김동인,"Dongin, Kim"
21,벙어리 삼룡이,"The Mute, Samnyongi",Samnyongi,나도향,"Dohyang, Na"
22,봄봄,"Spring, Spring",SpringSpring,김유정,"Yujeong, Kim"
23,부자,Father and Son,FatherSon,강경애,"Kyungae, Kang"
24,불,Fire,Fire,현진건,"Jingun, Hyun"
25,빈처,A Poor Wife,PoorWife,현진건,"Jingun, Hyun"
26,사위,Son-in-law,SonLaw,이무영,"Muyeong, Lee"
27,소년의 비애,A Boy's Woes,BoyWoe,이광수,"Kwangsoo, Lee"
28,송동이,Songtongi,Songtongi,김동인,"Dongin, Kim"
29,순정의 호동왕자,Purity of Prince Hodong,PrinceHodong,윤백남,"BaekNam, Yoon"
30,술 권하는 사회,Society Authorizing Alcohol,AlcoholSociety,현진건,"Jingun, Hyun"
31,신문지와 철창,Newspaper and Cage,NewsCage,현진건,"Jingun, Hyun"
32,우연의 기적,Accidental Miracle,AccidentalMiracle,윤백남,"BaekNam, Yoon"
33,운수 좋은 날,A lucky day,LuckyDay,현진건,"Jingun, Hyun"
34,원수로 은인,Enemy to Benefactor,EnemyChange,윤백남,"BaekNam, Yoon"
35,유무,Presence,Presence,강경애,"Kyungae, Kang"
36,의심의 소녀,A Suspicious Girl,SuspiciousGirl,김명순,"Myeongsoon, Kim"
37,이식과 도승,Yi-Sik and Doseung,YisikDoseung,윤백남,"BaekNam, Yoon"
38,장미 병들다,A Rose is Sickening,SickRose,이효석,"Hyoseok, Lee"
39,정열의 낙랑공주,Passion of Princess Nangnang,PassionNangNang,윤백남,"BaekNam, Yoon"
40,정희,Jung-hee,Junghee,김동인,"Dongin, Kim"
41,청춘,Youth,Youth,나도향,"Dohyang, Na"
42,총각과 맹꽁이,Single Man and Toad,ManToad,김유정,"Yujeong, Kim"
43,탈출기,Escape Plan,EscapePlan,최서해,"Seohae, Choi"
44,파금,Bajin,Bajin,강경애,"Kyungae, Kang"
45,해돋이,Sunrise,Sunrise,최서해,"Seohae, Choi"
46,화환,Wreath,Wreath,김동인,"Dongin, Kim"
47,황소와 도깨비,Bull and Goblin,BullGoblin,이상,"Sang, Lee"
48,후백제비화,The Secret Story Behind Later Baekje,SecretBaekje,윤백남,"BaekNam, Yoon"
49,흙의 세례,Baptism of soil,BaptismSoil,이익상,"Iksang, Lee"
